bin_start_us,time_ms,voq_KB,egress_KB,total_KB,flow_0_Gbps,flow_1_Gbps,sum_Gbps
151000.0,151.0,68.9609375,1.541015625,70.501953125,16.91944,23.057904,39.977344
152000.0,152.0,67.419921875,1.541015625,68.9609375,16.834224,23.247264,40.081488
153000.0,153.0,75.125,1.541015625,76.666015625,15.666496,23.209952,38.876448
154000.0,154.0,0.0,0.0,0.0,15.978944,24.052048,40.030992
155000.0,155.0,24.65625,1.541015625,26.197265625,16.66696,23.1084,39.77536
156000.0,156.0,0.0,0.0,0.0,17.260288,22.404608,39.664896
157000.0,157.0,7.705078125,1.541015625,9.24609375,17.4244,23.019472,40.443872
158000.0,158.0,61.708984375,1.541015625,63.25,16.63224,23.398752,40.030992
159000.0,159.0,67.419921875,1.541015625,68.9609375,17.04568,21.80552,38.851200000000006
160000.0,160.0,0.0,0.0,0.0,17.758384,21.602976,39.361360000000005
161000.0,161.0,1.087890625,1.541015625,2.62890625,18.529568,21.561392,40.09096
162000.0,162.0,10.787109375,1.541015625,12.328125,19.292768,20.890272,40.18304
163000.0,163.0,33.970703125,1.541015625,35.51171875,20.047056,19.68096,39.728016
164000.0,164.0,13.869140625,1.541015625,15.41015625,20.384752,19.794576,40.179328
165000.0,165.0,33.970703125,1.541015625,35.51171875,18.816208,20.47312,39.289328
166000.0,166.0,0.0,1.541015625,1.541015625,19.406384,20.785008,40.191392
167000.0,167.0,24.65625,1.541015625,26.197265625,18.901424,20.827152,39.728576000000004
168000.0,168.0,1.541015625,0.0,1.541015625,19.131808,21.349936,40.481744
169000.0,169.0,59.71484375,1.541015625,61.255859375,18.462736,20.72616,39.188896
170000.0,170.0,0.0,0.0,0.0,19.093936,21.0128,40.106736
171000.0,171.0,13.869140625,1.541015625,15.41015625,19.655712,20.785008,40.44072
172000.0,172.0,68.9609375,1.541015625,70.501953125,18.60104,20.461056,39.062096
173000.0,173.0,1.087890625,1.087890625,2.17578125,18.993504,21.000176,39.99368
174000.0,174.0,16.951171875,1.541015625,18.4921875,18.415392,21.763376,40.178768000000005
175000.0,175.0,38.140625,1.541015625,39.681640625,18.563728,20.801904,39.365632000000005
176000.0,176.0,1.541015625,0.0,1.541015625,19.242272,20.021808,39.26408
177000.0,177.0,1.541015625,0.0,1.541015625,19.958688,20.532528,40.491215999999994
178000.0,178.0,58.173828125,1.541015625,59.71484375,19.179152,20.561488,39.74064
179000.0,179.0,27.353515625,1.541015625,28.89453125,19.406384,19.757264,39.163647999999995
180000.0,180.0,0.0,1.541015625,1.541015625,19.93344,20.548304,40.481744000000006
181000.0,181.0,58.173828125,1.541015625,59.71484375,17.373904,21.038608,38.412512
182000.0,182.0,0.0,0.0,0.0,18.200784,21.74184,39.942623999999995
183000.0,183.0,13.869140625,1.541015625,15.41015625,18.41224,21.64976,40.062
184000.0,184.0,24.271484375,1.541015625,25.8125,17.48752,19.798288,37.285808
185000.0,185.0,0.0,0.0,0.0,18.276528,20.57096,38.847488
186000.0,186.0,1.541015625,0.0,1.541015625,18.964544,21.290528,40.255072
187000.0,187.0,37.052734375,1.541015625,38.59375,19.119184,21.050112,40.169296
188000.0,188.0,56.6328125,1.541015625,58.173828125,19.217024,20.435808,39.652832000000004
189000.0,189.0,15.41015625,1.541015625,16.951171875,19.07816,20.987552,40.065712000000005
190000.0,190.0,21.57421875,1.541015625,23.115234375,19.557872,20.485744,40.043616
191000.0,191.0,29.34765625,1.541015625,30.888671875,19.99656,20.043344,40.039904
192000.0,192.0,31.908203125,1.541015625,33.44921875,20.034432,19.832448,39.866879999999995
193000.0,193.0,18.0390625,1.541015625,19.580078125,20.608272,19.883504,40.491776
194000.0,194.0,78.34375,1.541015625,79.884765625,20.236976,19.018192,39.255168
195000.0,195.0,1.541015625,0.0,1.541015625,20.709264,19.482128,40.191392
196000.0,196.0,33.44921875,1.541015625,34.990234375,19.971872,20.009184,39.981056
197000.0,197.0,30.8203125,1.541015625,32.361328125,19.406384,20.557776,39.96416
198000.0,198.0,27.28515625,1.541015625,28.826171875,18.85408,21.063856,39.917936
199000.0,199.0,17.01953125,1.541015625,18.560546875,18.500608,21.55192,40.052527999999995
